,Availablility,Furnishing,Gender_requirement,Location,Max_period,Min_period,Price,Short_description,Size,Price_per_month,Average_price_per_month,Postal_code
830,Now,Furnished,Males or females,Abbey Hey (M18),None,12 months,['£250 pcm'],House  share in Abbey hey,Double room,[250],250.0,M18
831,01 Feb 2019,Furnished,Males or females,Hulme (M15),None,12 months,['£425 pcm'],Looking for a new flatmate - 1 double room,Double room,[425],425.0,M15
832,01 Jan 2019,Furnished,Males or females,Stretford (M32),None,None,['£50 pw'],Mark,Single room,[200],200.0,M32
833,Now,Furnished,Males or females,Hulme (M15),None,None,"['£250 pcm', '£200 pcm']",Modern Four Bed Shared House Fully Furnished,Single + double,"[250, 200]",225.0,M15
834,Now,Furnished,Males or females,Chorlton-cum-Hardy (M21),None,None,"['£400 pcm', '£375 pcm', '£375 pcm', '£350 pcm', '£350 pcm']",No Deposit - Professional House Share,5 doubles,"[400, 375, 375, 350, 350]",370.0,M21
835,Now,No info,Males or females,Ringley (M26),None,12 months,"['£550 pcm', '£550 pcm']",2 Bed Executive Apt for rent near Bolton,Single + double,"[550, 550]",550.0,M26
836,Now,Furnished,Males or females,Ladybarn (M14),6 months,6 months,['£800 pcm'],Cottage available  22 October 2018- 22 April 2019,Double room,[800],800.0,M14
837,Now,Furnished,Males or females,Victoria Park (M14),6 months,6 months,['£125 pw'],Spare room in 8bed house - free rent till New Year,Double room,[500],500.0,M14
838,23 Dec 2018,Furnished,Males or females,Didsbury (M20),None,6 months,['£715 pcm'],Double en suite room available in 6 bed house :),Double room,[715],715.0,M20
839,01 Dec 2018,Furnished,Males or females,Salford (M5),None,None,['£550 pcm'],Room to rent  -  Pioneer House - Salford Quays,Double room,[550],550.0,M5
840,01 Jan 2019,No info,Female preferred,Longsight (M13),None,4 months,['£500 pcm'],Double Bedroom with Ensuite,Double room,[500],500.0,M13
841,01 Dec 2018,Furnished,Males or females,Manchester City Centre (M1),None,6 months,['£700 pcm'],Large Double Bedroom in Massive City Centre Flat,Double room,[700],700.0,M1
842,Now,Furnished,Female preferred,Denton (M34),None,None,['£80 pw'],Loft Room Conversion,Double room,[320],320.0,M34
843,18 Dec 2018,Furnished,Males or females,Chorlton (M21),None,3 months,['£185 pcm'],Room available in relaxed and friendly house share,Double room,[185],185.0,M21
844,01 Dec 2018,Furnished,Male preferred,Manchester (M34),None,3 months,"['£360 pcm', '£395 pcm']",Double room in large detached house,2 doubles,"[360, 395]",377.5,M34
845,Now,Furnished,Male preferred,Chorlton (M21),None,8 months,['£595 pcm'],Attic Room in Centre of Chorlton all bills inc,Double room,[595],595.0,M21
846,01 Dec 2018,Furnished,Males or females,Manchester (M13),None,None,['£465 pcm'],Females here Walking to  city centre.,Single room,[465],465.0,M13
847,01 Dec 2018,No info,Female preferred,Fallowfield (M14),None,None,['£400 pcm'],Single Room With En-suite,Single room,[400],400.0,M14
848,15 Dec 2019,Furnished,Males or females,Rusholme (M14),6 months,6 months,['£115 pw'],Student Double Room Avaliable,Double room,[460],460.0,M14
849,01 Dec 2018,Furnished,Female preferred,Hulme (M15),None,12 months,['£380 pcm'],Double room in a friendly flat in Hulme,Double room,[380],380.0,M15
850,Now,Furnished,Males or females,Stretford (M32),None,1 month,['£575 pcm'],Dble/twin room:  single occupancy £130 per week.,Double room,[575],575.0,M32
851,Now,Furnished,Males or females,Middleton (M24),4 months,None,['£400 pcm'],House mate required,Double room,[400],400.0,M24
852,05 Jan 2019,Furnished,Female preferred,Manchester City Centre (M1),None,12 months,['£500 pcm'],Looking for a roomie starting in the new year!,Double room,[500],500.0,M1
853,Now,Furnished,Males or females,Failsworth (M35),None,None,"['£520 pcm', '£500 pcm']",Large rooms  no more than 10 minutes   from City,2 doubles,"[520, 500]",510.0,M35
854,01 Jan 2019,No info,Males or females,Hulme (M15),None,None,"['£147 pw', '£147 pw']",2 x en-suite rooms,2 singles,"[588, 588]",588.0,M15
855,01 Jan 2019,Furnished,No info,Manchester City Centre (M3),None,6 months,['Potential Buddy Ups'],Light and Spacious City Centre Appartment,2 bed flat,[],,M3
856,Now,Furnished,Female preferred,Eccles (M30),None,6 months,['£455 pcm'],House  Share  Eccles,Double room,[455],455.0,M30
857,01 Jan 2019,Furnished,Males or females,Salford Quays (M50),12 months,6 months,['£450 pcm'],Spacious Salford Quays Apartment with own Bathroom,Double room,[450],450.0,M50
858,09 Feb 2019,Furnished,Males or females,Manchester (M14),None,12 months,['£405 pcm'],Looking for a flatmate for a 2 bed apartment,Double room,[405],405.0,M14
859,04 Dec 2018,Furnished,Males or females,Manchester City Centre (M1),None,6 months,['£825 pcm'],Beautiful ONE bed apartment in trendy NQ!,Double room,[825],825.0,M1
