,Availablility,Furnishing,Gender_requirement,Location,Max_period,Min_period,Price,Short_description,Size,Price_per_month,Average_price_per_month,Postal_code
205,Now,Furnished,Males or females,Liverpool City Centre (L6),None,None,"['£100 pw', '£400 pcm', '£400 pcm', '£400 pcm', '£400 pcm', '£400 pcm']",Ensuite Rooms City Centre,Double room,"[400, 400, 400, 400, 400, 400]",400.0,L6
206,Now,Furnished,Males or females,Liverpool City Centre (L1),None,11 months,"['£125 pw', '£125 pw', '£125 pw', '£125 pw', '£125 pw', '£125 pw']",Luxury Rooms City Cente,6 doubles,"[500, 500, 500, 500, 500, 500]",500.0,L1
207,Now,Furnished,Males or females,Liverpool City Centre (L8),None,6 months,"['£115 pw', '£115 pw', '£115 pw']",Luxury House Share (3 people MAX!),3 doubles,"[460, 460, 460]",460.0,L8
208,Now,Furnished,Males or females,Liverpool City Centre (L6),None,6 months,['£330 pcm'],Beautifully Refurbished Double Room. One week free,Double room,[330],330.0,L6
209,01 Dec 2018,Furnished,Males or females,Liverpool (L6),None,6 months,['£375 pcm'],"Huge,Spacious Room for Rent inc Bills, L6 NO FEE",Double room,[375],375.0,L6
210,05 Jan 2019,Furnished,Males or females,Liverpool City Centre (L3),15 months,8 months,['£162 pw'],Stunning Studio's in the heart of Liverpool,Single room,[648],648.0,L3
211,Now,Furnished,Males or females,Liverpool (L6),None,3 months,"['£350 pcm', '£325 pcm', '£350 pcm', '£325 pcm', '£305 pcm', '£350 pcm']",Excellent House Share,Double room,"[350, 325, 350, 325, 305, 350]",334.1666666666667,L6
212,Now,No info,Males or females,Liverpool (L13),None,3 months,"['£365 pcm', '£365 pcm', '£365 pcm', '£385 pcm']",****Stunning 4 Bedroom House Share*****,2 doubles,"[365, 365, 365, 385]",370.0,L13
213,Now,Furnished,Males or females,Liverpool (L13),None,3 months,"['£372 pcm', '£350 pcm', '£450 pcm', '£372 pcm', '£325 pcm']",Lovely House Share  2 Rooms Available Now,2 doubles,"[372, 350, 450, 372, 325]",373.8,L13
214,01 Sep 2019,Furnished,Males or females,Liverpool City Centre (L1),11 months,3 months,"['£135 pw', '£130 pw', '£115 pw', '£110 pw', '£115 pw', '£115 pw', '£115 pw', '£115 pw', '£110 pw', '£115 pw']",En-suite Student Rooms All Utilities Inc. L1,8 singles + 2 doubles,"[540, 520, 460, 440, 460, 460, 460, 460, 440, 460]",470.0,L1
215,01 Sep 2019,Furnished,Males or females,Liverpool (L7),None,11 months,['£85 pw'],Student rooms for rent (Liverpool),Single room,[340],340.0,L7
216,Now,Furnished,Males or females,Liverpool (L11),None,4 months,"['£295 pcm', '£310 pcm', '£325 pcm', '£350 pcm']","4 Double rooms in L11, Near TJ Morris., Croxteth",4 doubles,"[295, 310, 325, 350]",320.0,L11
217,Now,Furnished,Males or females,Liverpool (L8),None,1 month,"['£70 pw', '£70 pw']",1 double room available - Boswell Street,Double room,"[280, 280]",280.0,L8
218,15 Dec 2018,Furnished,No info,Liverpool (L15),12 months,3 months,['£335 pcm (whole property)'],*********1 Room for a Male Avail Now*******,5 bed house,[335],335.0,L15
219,Now,Furnished,Males or females,Ormskirk (L39),24 months,4 months,"['£105 pw', '£100 pw']",Rooms to let in Ormskirk town centre £105 pw,2 doubles,"[420, 400]",410.0,L39
220,01 Dec 2018,Furnished,Males or females,Allerton (L18),None,6 months,"['£330 pcm', '£360 pcm']",>>>>Black Friday Offer!!<<<<,2 doubles,"[330, 360]",345.0,L18
221,01 Dec 2018,Furnished,Males or females,Aigburth (L17),None,3 months,"['£375 pcm', '£345 pcm']",>>>>Black Friday Offer!!<<<<,2 doubles,"[375, 345]",360.0,L17
222,Now,Furnished,Males or females,Liverpool (L4),None,3 months,"['£325 pcm', '£70 pw', '£100 pw', '£100 pw', '£109 pw']",Fully furnished luxury room close to city,Double room,"[325, 280, 400, 400, 436]",368.2,L4
223,Now,Furnished,Males or females,Liverpool (L13),None,None,"['£90 pw', '£85 pw', '£80 pw', '£100 pw', '£95 pw']",Rooms To let in newly refurbish House L13,2 doubles,"[360, 340, 320, 400, 380]",360.0,L13
224,Now,Furnished,Males or females,Ormskirk (L39),None,6 months,"['£75 pw', '£75 pw', '£75 pw', '£75 pw']","5 Bed Shared Student Accommodation, Halsall Lan",Double room,"[300, 300, 300, 300]",300.0,L39
225,Now,Furnished,Males or females,Aigburth (L17),None,6 months,"['£80 pw', '£80 pw', '£80 pw', '£80 pw']",A Recently Refurbished 4 Bedroom Flat Share,Double room,"[320, 320, 320, 320]",320.0,L17
226,Now,Furnished,Males or females,Liverpool (L17),None,6 months,"['£90 pw', '£90 pw', '£90 pw', '£65 pw']",A Recently Refurbished 4 Bedroom Flat Share,Single + 3 doubles,"[360, 360, 360, 260]",335.0,L17
227,Now,Furnished,Males or females,Liverpool City Centre (L7),None,3 months,"['£330 pcm', '£350 pcm']",Amazing rooms - top Liverpool Location - Low dep.,2 doubles,"[330, 350]",340.0,L7
228,Now,Furnished,Males or females,Liverpool (L13),None,6 months,"['£75 pw', '£90 pw', '£75 pw', '£85 pw']",Rooms Available from £75.00,2 doubles,"[300, 360, 300, 340]",325.0,L13
229,Now,Furnished,Males or females,Aigburth (L17),None,6 months,"['£79 pw', '£79 pw', '£79 pw', '£79 pw', '£79 pw']",Excellent Location. Large Apartment. Recently reno,5 doubles,"[316, 316, 316, 316, 316]",316.0,L17
230,Now,Furnished,Males or females,Liverpool (L17),None,6 months,"['£95 pw', '£95 pw', '£95 pw']",Beautiful restored Victorian House to rent,3 doubles,"[380, 380, 380]",380.0,L17
231,Now,Furnished,Males or females,Liverpool City Centre (L2),None,12 months,['£110 pw'],King Size Room in city centre flat for Rent,Double room,[440],440.0,L2
232,Now,Furnished,Males or females,Liverpool City Centre (L3),None,10 months,"['£135 pw', '£135 pw', '£135 pw', '£135 pw', '£135 pw', '£135 pw', '£135 pw', '£135 pw']",The Paramount by Cloud Student Homes,8 doubles,"[540, 540, 540, 540, 540, 540, 540, 540]",540.0,L3
233,Now,Furnished,Males or females,Liverpool City Centre (L3),None,10 months,"['£125 pw', '£125 pw', '£125 pw', '£125 pw', '£125 pw', '£125 pw', '£125 pw', '£125 pw', '£125 pw', '£125 pw', '£125 pw', '£125 pw']",Plato House - Lettings by Cloud Student Homes,12 doubles,"[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",500.0,L3
234,01 Dec 2018,Furnished,Female preferred,Liverpool (L18),None,6 months,['£330 pcm'],Double room just off Penny Lane,Double room,[330],330.0,L18
235,Now,Furnished,Males or females,Liverpool (L13),None,6 months,"['£65 pw', '£75 pw', '£75 pw', '£90 pw', '£90 pw', '£75 pw']",5* Luxury 6 Bed 4 Bath House Share - No Deposit!!!,2 doubles,"[260, 300, 300, 360, 360, 300]",313.3333333333333,L13
236,Now,Furnished,Males or females,Crosby (L23),6 months,None,['£100 pw'],Large room in Crosby For Short Term Lets,Double room,[400],400.0,L23
237,01 Mar 2019,Furnished,No info,Liverpool City Centre (L2),None,6 months,['£699 pcm (whole property)'],"Studio with Bills inc, on-Site Gym and Concierge",Studio flat,[699],699.0,L2
238,01 Jul 2019,Furnished,Males or females,Liverpool (L7),None,12 months,"['£85 pw', '£85 pw', '£85 pw', '£85 pw', '£85 pw', '£65 pw']",Student Home from £65/wk Bills&Cleaner Incl,Single + 5 doubles,"[340, 340, 340, 340, 340, 260]",326.6666666666667,L7
239,Now,Furnished,Males or females,Liverpool (L6),None,6 months,"['£350 pcm', '£350 pcm', '£350 pcm', '£350 pcm', '£350 pcm', '£350 pcm', '£350 pcm', '£350 pcm']",Kensington/Anfield - Double Rooms To Rent,Double room,"[350, 350, 350, 350, 350, 350, 350, 350]",350.0,L6
240,01 Jul 2019,Furnished,No info,Liverpool (L15),None,12 months,['£65 pw (whole property)'],"Student Hse from £65pw,Cleaner,Bills&Welcome Pk",4 bed house,[260],260.0,L15
241,01 Jul 2019,Furnished,Males or females,Liverpool (L7),None,12 months,"['£85 pw', '£85 pw', '£85 pw', '£85 pw', '£85 pw', '£85 pw']","6 Bed Student Hse-Bills,Cleaner & Welcome Pk Incl",6 doubles,"[340, 340, 340, 340, 340, 340]",340.0,L7
242,Now,Furnished,Males or females,Liverpool City Centre (L7),None,3 months,"['£330 pcm', '£350 pcm']",Amazing rooms - top Liverpool Location - Low dep.,2 doubles,"[330, 350]",340.0,L7
243,Now,Furnished,Males or females,Liverpool (L15),None,3 months,['£75 pw'],Rooms in Shared House in Wavertree . All Inclusive,Double room,[300],300.0,L15
244,Now,Furnished,Males or females,Allerton (L18),12 months,3 months,['£85 pw'],1 Bedroom in Student House Available NOW!,Double room,[340],340.0,L18
245,Now,Furnished,Males or females,Ormskirk (L39),None,3 months,"['£120 pw', '£120 pw', '£120 pw', '£120 pw', '£120 pw', '£120 pw', '£120 pw', '£120 pw', '£120 pw']","Student Rooms Available, Short Term Lets Accepted",2 doubles,"[480, 480, 480, 480, 480, 480, 480, 480, 480]",480.0,L39
246,Now,Furnished,Female preferred,Mossley Hill (L18),None,3 months,"['£400 pcm', '£425 pcm']",Double room available in luxury house-share,Double room,"[400, 425]",412.5,L18
247,14 Jan 2019,Furnished,Males or females,Aigburth (L17),None,1 month,['£400 pcm'],Spacious double room near Lark Lane,Double room,[400],400.0,L17
248,Now,Furnished,Males or females,Liverpool (L4),None,1 month,"['£250 pcm', '£375 pcm']",2 rooms available close to city centre,Single + double,"[250, 375]",312.5,L4
249,08 Dec 2018,Furnished,Males or females,Liverpool (L13),None,2 months,['£280 pcm'],"Lovely house, quiet and relaxed.  Cleaner also",Double room,[280],280.0,L13
250,Now,Furnished,Males or females,Liverpool (L15),None,9 months,"['£78 pw', '£78 pw', '£78 pw', '£78 pw', '£78 pw', '£60 pw']","Student Rooms by Penny Lane, all bills included",Single room,"[312, 312, 312, 312, 312, 240]",300.0,L15
